Please select a payment channel.,Veuillez sélectionner un canal de paiement.
Override Hyvä payment list template,Remplacer le modèle de liste de paiements Hyvä
Enable to replace Hyvä payment method list rendering with the Zen custom template.,Activez pour remplacer l’affichage de la liste de paiements Hyvä par le modèle personnalisé de Zen.
Card payment failed. Please try again.,Le paiement par carte a échoué. Veuillez réessayer.
Cart payment has been cancelled.,Le paiement du panier a été annulé.
Card payment successful.,Le paiement par carte a réussi.
Card payment failed.,Le paiement par carte a échoué.
