Please select a payment channel.,Seleziona un canale di pagamento.
Override Hyvä payment list template,Sovrascrivi il template della lista pagamenti Hyvä
Enable to replace Hyvä payment method list rendering with the Zen custom template.,Abilita per sostituire il rendering della lista metodi di pagamento Hyvä con il template personalizzato di Zen.
Card payment failed. Please try again.,Pagamento con carta non riuscito. Per favore riprova.
Cart payment has been cancelled.,Il pagamento del carrello è stato annullato.
Card payment successful.,Pagamento con carta riuscito.
Card payment failed.,Pagamento con carta non riuscito.
