Please select a payment channel.,Selectați un canal de plată.
Override Hyvä payment list template,Suprascrie șablonul listei de plăți Hyvä
Enable to replace Hyvä payment method list rendering with the Zen custom template.,Activează înlocuirea afișării listei de metode de plată Hyvä cu șablonul personalizat Zen.
Card payment failed. Please try again.,Plata cu cardul a eșuat. Vă rugăm să încercați din nou.
Cart payment has been cancelled.,Plata coșului a fost anulată.
Card payment successful.,Plata cu cardul a reușit.
Card payment failed.,Plata cu cardul a eșuat.
