Please select a payment channel.,Vyberte platební kanál.
Override Hyvä payment list template,Přepsat šablonu seznamu plateb Hyvä
Enable to replace Hyvä payment method list rendering with the Zen custom template.,Povolí nahrazení vykreslení seznamu plateb Hyvä vlastní šablonou Zen.
Card payment failed. Please try again.,Platba kartou se nezdařila. Zkuste to prosím znovu.
Cart payment has been cancelled.,Platba košíku byla zrušena.
Card payment successful.,Platba kartou byla úspěšná.
Card payment failed.,Platba kartou se nezdařila.
