Please select a payment channel.,Lütfen bir ödeme kanalı seçin.
Override Hyvä payment list template,Hyvä ödeme listesi şablonunu geçersiz kıl
Enable to replace Hyvä payment method list rendering with the Zen custom template.,Hyvä ödeme yöntemi listesinin Zen özel şablonu ile değiştirilmesi için etkinleştirin.
Card payment failed. Please try again.,Kartla ödeme başarısız oldu. Lütfen tekrar deneyin.
Cart payment has been cancelled.,Sepet ödemesi iptal edildi.
Card payment successful.,Kartla ödeme başarılı.
Card payment failed.,Kartla ödeme başarısız oldu.
